date,price,product,store_name
06/01/2021,"20,99 ","1906 0,5l",Foczka Alkohole
06/01/2021,"49,99 ","Absolut Peara 0,7L",Foczka Alkohole
06/01/2021,"30,49 ","Absolut Vodka 0,5 l.",Foczka Alkohole
06/01/2021,"23,39 ",Adam Mickiewicz 0.5l,Foczka Alkohole
06/01/2021,"28,49 ","Adam Mickiewicz Premium 0,5l",Foczka Alkohole
06/01/2021,"21,49 ","Alaska 0,5l.",Foczka Alkohole
06/01/2021,"39,99 ","Amundsen 0,7l",Foczka Alkohole
06/01/2021,"30,49 ",Amundsen 0.5l,Foczka Alkohole
06/01/2021,"64,99 ",Amundsen 1L,Foczka Alkohole
06/01/2021,"138,00 ","Beluga Noble 0,7l",Foczka Alkohole
06/01/2021,"175,90 ","Beluga Transatlantic Racing 0,7l",Foczka Alkohole
06/01/2021,"22,99 ","Biała Dama 0,5l",Foczka Alkohole
06/01/2021,"24,99 ","Biało Bocian Bio 0,5l",Foczka Alkohole
06/01/2021,"26,99 ","Biały Bocian 0,5l",Foczka Alkohole
06/01/2021,"37,00 ","Biały Bocian 0,7l",Foczka Alkohole
06/01/2021,"59,99 ",Biały Bocian 1L,Foczka Alkohole
06/01/2021,"23,99 ","Biały Bocian Karmel 0,5l",Foczka Alkohole
06/01/2021,"28,99 ","Bjorn Biały 0,5l.",Foczka Alkohole
06/01/2021,"39,00 ","Bjorn Biały 0,7l",Foczka Alkohole
06/01/2021,"23,79 ","Bjorn Cristal 0,5l.",Foczka Alkohole
06/01/2021,"31,99 ","Bjorn Czarny 0,5l.",Foczka Alkohole
06/01/2021,,"Bjorn Czarny 0,7 (45 %)",Foczka Alkohole
06/01/2021,"23,99 ","Bocian Biały 0,5l Cytryna",Foczka Alkohole
06/01/2021,"23,99 ","Bocian Biały Cytryna na Miodzie Gryczanym 0,5l",Foczka Alkohole
06/01/2021,"23,99 ","Bocian Biały Czarna Porzeczka 0,5l",Foczka Alkohole
06/01/2021,"23,99 ","Bocian Biały Pigwa 0,5l",Foczka Alkohole
06/01/2021,"23,99 ","Bocian Biały Śliwka 0,5l",Foczka Alkohole
06/01/2021,"23,99 ","Bocian Biały Wiśnia 0,5l",Foczka Alkohole
06/01/2021,"24,59 ","Bols Platinum 0,5l",Foczka Alkohole
06/01/2021,"38,99 ","Bols Platinum 0,7l",Foczka Alkohole
06/01/2021,"51,40 ",Bols Platinum 1l,Foczka Alkohole
06/01/2021,"52,99 ","Chopin Rey 0,5l",Foczka Alkohole
06/01/2021,"79,99 ",Chopin Rey 07l + kieliszki,Foczka Alkohole
06/01/2021,"155,58 ","Chopin Rey 1,75l",Foczka Alkohole
06/01/2021,"279,99 ",Chopin Rey 3l,Foczka Alkohole
06/01/2021,"29,69 ","Cymes Kosher 0,5l,",Foczka Alkohole
06/01/2021,"40,29 ","Cymes Kosher 0,7l",Foczka Alkohole
06/01/2021,"28,49 ","Czarny Bocian 0,5l",Foczka Alkohole
06/01/2021,"28,49 ","Dalkowski 0,5l",Foczka Alkohole
06/01/2021,"430,00 ",Dębowa Beczka Wódka 3l,Foczka Alkohole
06/01/2021,"259,99 ",Dębowa huśtawka 2l,Foczka Alkohole
06/01/2021,"57,00 ","Dwór Sieraków Superior 0,5l",Foczka Alkohole
06/01/2021,"85,00 ","Dwór Sieraków Superior 0,7l",Foczka Alkohole
06/01/2021,"58,00 ","Dwór Sieraków Ziemniak Kosher 0,5l",Foczka Alkohole
06/01/2021,"85,00 ",Dwór Sieraków Ziemniak Kosher 0.7l,Foczka Alkohole
06/01/2021,"21,99 ","Dzika Kaczka 0,5l",Foczka Alkohole
06/01/2021,"22,99 ","Extra Żytnia 0,5l",Foczka Alkohole
06/01/2021,"40,90 ","Finlandia 0,7l",Foczka Alkohole
06/01/2021,"28,99 ",Finlandia 0.5l,Foczka Alkohole
06/01/2021,"67,99 ",Finlandia 1l,Foczka Alkohole
06/01/2021,"32,23 ","Finlandia Cranberry 0,5l, ",Foczka Alkohole
06/01/2021,"30,99 ","Folwark Janików 0,5l",Foczka Alkohole
06/01/2021,"143,00 ","Grey Goose 0,7l",Foczka Alkohole
06/01/2021,"26,99 ","Henryk Sienkiewicz 0,5l,",Foczka Alkohole
06/01/2021,"24,49 ","Husaria 0,5L",Foczka Alkohole
06/01/2021,"44,99 ","Husaria 0,7l",Foczka Alkohole
06/01/2021,"33,99 ",J.A. Baczewski 0.5l,Foczka Alkohole
06/01/2021,"25,29 ","Juliusz Słowacki 0,5l",Foczka Alkohole
06/01/2021,"22,29 ","Kazimierz Wielki 0,5l.",Foczka Alkohole
06/01/2021,"26,99 ","KHORTYTSA ICE 0,5l",Foczka Alkohole
06/01/2021,"24,99 ","KHORTYTSA PLATINIUM 0,5l",Foczka Alkohole
06/01/2021,"29,99 ,26,99 ","KHORTYTSA STRUCTURED 0,5l",Foczka Alkohole
06/01/2021,"24,99 ","Krupnik Cytrynowy 0,5l, ",Foczka Alkohole
06/01/2021,"22,00 ","Krupnik Premium 0,5l",Foczka Alkohole
06/01/2021,"24,99 ","Krupnik Słony Karmel 0,5l,",Foczka Alkohole
06/01/2021,"22,49 ","Lecą Żurawie 0,5l",Foczka Alkohole
06/01/2021,"27,99 ",Love Boho 0.5l,Foczka Alkohole
06/01/2021,"22,09 ","Lubelska Ananasowa 0,5l,",Foczka Alkohole
06/01/2021,"22,09 ","Lubelska Cytrynówka 0,5l",Foczka Alkohole
06/01/2021,"4,99 ",Lubelska Cytrynówka 100 ml,Foczka Alkohole
06/01/2021,"22,09 ","Lubelska Grejpfrut 0,5l",Foczka Alkohole
06/01/2021,"4,99 ",Lubelska Grejpfrutowa 100 ml,Foczka Alkohole
06/01/2021,"22,09 ","Lubelska Gruszkowa 0,5l",Foczka Alkohole
06/01/2021,"22,09 ","Lubelska Jeżynowa 0,5l",Foczka Alkohole
06/01/2021,"22,09 ","Lubelska Mango 0,5l",Foczka Alkohole
06/01/2021,"22,09 ","Lubelska Pomarańczowa 0,5l",Foczka Alkohole
06/01/2021,"4,99 ",Lubelska Pomarańczówka 100 ml,Foczka Alkohole
06/01/2021,"22,09 ","Lubelska Porzeczkowa 0,5 l",Foczka Alkohole
06/01/2021,"4,99 ","Lubelska Porzeczkowa 100 ml,",Foczka Alkohole
