date,price,product,store_name
10/01/2021,"280,00","DIAMOND STANDARD VODKA 0,7L",Propaganda24
10/01/2021,"1699,00","DIAMOND STANDARD VODKA 1,0L RÓŻOWY PYŁ + SKRZYNKA",Propaganda24
10/01/2021,"189,00","BELVEDERE UNFILTERED VODKA 0,7L",Propaganda24
10/01/2021,"149,00","BELVEDERE VODKA 0,7L + KARTON",Propaganda24
10/01/2021,"850,00",BELVEDERE VODKA 3L + KARTONIK,Propaganda24
10/01/2021,"1599,00","BELVEDERE VODKA 6,0L PODŚWIETLANA BUTELKA",Propaganda24
10/01/2021,"419,00","BELUGA ALLURE RUSSIAN VODKA 0,7L W SKÓRZE",Propaganda24
10/01/2021,"499,00","BELUGA ALLURE RUSSIAN VODKA 0,7L W SKÓRZE + 3 KIELISZKI",Propaganda24
10/01/2021,"199,00","BELUGA CELEBRATION LIMITED EDITION RUSSIAN VODKA 0,7L",Propaganda24
10/01/2021,"549,00","BELUGA GOLD LINE RUSSIAN VODKA 0,7L W SKÓRZE ",Propaganda24
10/01/2021,"179,00","BELUGA NOBLE RUSSIAN VODKA EXPORT 0,7L",Propaganda24
10/01/2021,"369,00","BELUGA NOBLE RUSSIAN VODKA EXPORT 0,7L + 3 KIELISZKI",Propaganda24
10/01/2021,"899,00","BELUGA NOBLE RUSSIAN VODKA EXPORT 3,0L + KARTON",Propaganda24
10/01/2021,"289,00","BELUGA TRANSATLANTIC RACING RUSSIAN VODKA 0,7L W SKÓRZE",Propaganda24
10/01/2021,"145,00","BIMBER VODKA 0,7L + KARTONIK",Propaganda24
10/01/2021,"239,00","BIMBER VODKA LIMITED EDITION 0,7L + 2 KIELISZKI",Propaganda24
10/01/2021,"239,00","BIMBER VODKA STARZONA 0,7L + 2 KIELISZKI",Propaganda24
10/01/2021,"125,00","IMPERIA RUSSIAN STANDARD VODKA 0,5L",Propaganda24
10/01/2021,"197,00","IMPERIA RUSSIAN STANDARD VODKA 1,0L",Propaganda24
10/01/2021,"199,00","KAUFFMAN SOFT VODKA 0,7L + OPAKOWANIE",Propaganda24
10/01/2021,"190,00","LEGEND OF KREMLIN PREMIUM RUSSIAN VODKA 0,7L + KARTONIK",Propaganda24
10/01/2021,"215,00","LEGEND OF KREMLIN PREMIUM RUSSIAN VODKA 0,7L W KSIĄŻCE",Propaganda24
10/01/2021,"195,00","MAMONT VODKA Z SYBERII 0,7L",Propaganda24
10/01/2021,"124,99","PRAVDA VODKA 0,7L + KARTON",Propaganda24
10/01/2021,"229,00","PRAVDA VODKA 1,75L W KARTONIKU",Propaganda24
10/01/2021,"123,00","RUSSIAN STANDARD GOLD VODKA 1,0L",Propaganda24
10/01/2021,"57,99","RUSSIAN STANDARD ORIGINAL VODKA 0,7L",Propaganda24
10/01/2021,"90,00","RUSSIAN STANDARD ORIGINAL VODKA 1,0L",Propaganda24
10/01/2021,"389,00","RUSSIAN STANDARD ORIGINAL VODKA 3,0L",Propaganda24
10/01/2021,"110,00","RUSSIAN STANDARD PLATINUM VODKA 1,0L",Propaganda24
10/01/2021,"449,00","RUSSIAN STANDARD PLATINUM VODKA 3,0L",Propaganda24
10/01/2021,"169,00","ULUVKA IMPORTED  VODKA 0,7L",Propaganda24
10/01/2021,"69,90","CACHACA CANA RIO ORIGINAL 0,7L",Propaganda24
10/01/2021,"265,00","CRYSTAL HEAD VODKA 0,7L + KARTONIK",Propaganda24
10/01/2021,"299,00","CRYSTAL HEAD VODKA 0,7L + SHAKER + KARTONIK",Propaganda24
10/01/2021,"335,00","GREY GOOSE IMPORTED VODKA  1,5L",Propaganda24
10/01/2021,"169,00","GREY GOOSE IMPORTED VODKA 0,7L",Propaganda24
10/01/2021,"700,00","GREY GOOSE VX 1,0L + KATONIK",Propaganda24
10/01/2021,"219,00","JEWEL LINES PRECIOUS VODKA 0,7L",Propaganda24
10/01/2021,"119,00","KETEL ONE IMPORTED VODKA 0,7L",Propaganda24
10/01/2021,"259,00","NEFT VODKA BLACK 0,7L PUSZKA",Propaganda24
10/01/2021,"259,00","NEFT VODKA WHITE 0,7L PUSZKA",Propaganda24
10/01/2021,"155,00","STANISLAV LUXURY VODKA 1,75L",Propaganda24
10/01/2021,"225,00","XELLENT SWISS IMPORTED VODKA 0,7L ",Propaganda24
10/01/2021,"35,00","ABSOLUT IMPORTED VODKA 0,5L",Propaganda24
10/01/2021,"51,00","J.A. BACZEWSKI VODKA 0,5L",Propaganda24
10/01/2021,"65,00","J.A. BACZEWSKI VODKA 0,7L",Propaganda24
10/01/2021,"119,00","42 BELOW IMPORTED VODKA 0,7L",Propaganda24
10/01/2021,"299,99","100,000 SCOVILLES NAGA CHILLI VODKA 0,7L",Propaganda24
10/01/2021,"259,00",3 KILOS GOLD VODKA 1L SZTABKA ZŁOTA,Propaganda24
10/01/2021,"259,00",3 KILOS SILVER VODKA 1L SREBRNA SZTABKA,Propaganda24
10/01/2021,"109,00","72% ŚLIWOWICA PODBESKIDZKA 0,5L",Propaganda24
10/01/2021,"155,00","ABSOLUT ELYX SINGLE ESTATE VODKA 0,7L",Propaganda24
10/01/2021,"52,90","ABSOLUT IMPORTED VODKA 0,7L",Propaganda24
10/01/2021,"679,00","ABSOLUT IMPORTED VODKA 4,5L",Propaganda24
10/01/2021,"199,00","ADMIRALS CLUB VODKA 1,75L + TUBA",Propaganda24
10/01/2021,"250,00","ANESTASIA VODKA HAND-CRAFTED IN AMERICA 0,7L",Propaganda24
10/01/2021,"199,00","BASMOON POTATO VODKA 0,7L + DREWNIANA SKRZYNKA",Propaganda24
